Fundo,Notação,Documento,Abordagem,Local de produção,Data de produção,Técnica,Suporte,Formato,Cromia,Idioma,N. Itens,N. exemplares,Extensão,Responsável (1),Tipo de responsabilidade (1),Responsável (2),Tipo de responsabilidade (2),Responsáveis (3),Tipo de responsabilidade (3),Atividade/evento (1),Especificação (1),Local (1),Data ou período (1),Atividade/evento (2),Especificação (2),Local (2),Data  ou período (2),Descritores,Descritores,Descritores,Descritores,Referência,Observações
SBP,1.43.1,Artigo,Unitária,São Paulo (SP),1975,Impressão,Papel,Folha,,Português,1,2,10f,Samuel Barnsley Pessoa,Autor,Pérsio de Biasi,Autor,Giuseppe Porto,Autor,Publicação,"""Nota sobre formas evolutivas de trypanosoma de serpentes em meio de cultura""",São Paulo (SP),1975,,,,,Memórias do Instituto Butantan,,,,"PESSOA, S.B.; BIASI, P.; PORTO,G.; FERNANDES, W. Nota sobre formas evolutivas de Trypanosoma de serpentes em meio de cultura. Memórias do Instituto Butantã, São Paulo, v. 39, p.85-101, 1975. ",
SBP,1.44.1,Artigo,Unitária,São Paulo (SP),1974,Impressão,Papel,Folha,,Português,1,1,25f,Samuel Barnsley Pessoa,Autor,Pérsio de Biasi,Autor,Giuseppe Porto,Autor,Publicação,"""Nota sobre a frequência de hemoparasitas em serpentes do Brasil"" ",São Paulo (SP),1974,,,,,Memórias do Instituto Butantan,,,,"PESSOA, S.B.; BIASI, P.; PORTO,G. Nota sobre a frequência de hemoparasitas em serpentes do Brasil. Memórias do Instituto Butantã, São Paulo, v. 38, p.69-118, 1974. ",
SBP,1.45.1,Artigo,Unitária,São Paulo (SP),1974,Impressão,Papel,Folha,,Português,1,2,2f,Samuel Barnsley Pessoa,Autor,Pérsio de Biasi,Autor,Lia Sacchetta,Autor,Publicação,"""Evolução do Hepatozoon sp., parasita do Leptophis ahetulla (Linneu) (serpentes, Colubridae) no Culex fatigans""",São Paulo (SP),1974,,,,,Memórias do Instituto Butantan,,,,"PESSOA, S.B.; BIASI, P.; SACCHETTA, L. Evolução do Hepatozoon sp., parasita do Leptophis ahetulla (Linneu) (serpentes, Colubridae) no Culex fatigans. Memórias do Instituto Butantã, São Paulo, v.38, p. 119-122, 1974. ",
SBP,1.45.2,Artigo,Unitária,São Paulo (SP),1974,Impressão,Papel,Folha,,Português,1,2,4f,Samuel Barnsley Pessoa,Autor,Pérsio de Biasi,Autor,Lia Sacchetta,Autor,Publicação,"""Nota sobre o Hepatozoon tupinambis (Laveran e Salibeni, 1909) (Protozoa, Apicomplexa), parasita do tejú (Tupinambis teguxin, Linneu, 1758) (Sauria, Teiidae)""",São Paulo (SP),1974,,,,,Memórias do Instituto Butantan,,,,"PESSOA, S.B.; BIASI, P.; SACCHETTA, L. Nota sobre o Hepatozoon tupinambis (Laveran e Salibeni, 1909) (Protozoa, Apicomplexa), parasita do tejú (Tupinambis teguxin, Linneu, 1758) (Sauria, Teiidae). Memórias do Instituto Butantã, São Paulo, v.38, p. 123-130, 1974. ",
SBP,1.46.1,Artigo,Unitária,s.l.,abr/76,Impressão,Papel,Folha,,Inglês,1,1,4f,Stephen C. Ayala,Autor,Joyce Lance Spain,Autor,,,Pesquisa,-,s.l.,1976,,,,,Journal of Parasitology,,,,,
SBP,1.47.1,Artigo,Unitária,São Paulo (SP),mar/56,Impressão,Papel,Folha,,Português,1,1,5f,Samuel Barnsley Pessoa,Autor,,,,,Publicação,"""Consequências médicas das explosões atômicas""",São Paulo (SP),1956,,,,,Revista Paulista de Medicina,,,,"PESSOA, S.B. Consequências médicas das explosões atômicas. Revista Paulista de Medicina, v.48, n.3, p.278-294, mar. 1956. ",
SBP,1.48.1,Programa,Unitária,Rio de Janeiro (RJ),28/2/1975,Impressão,Papel,Folha,,Português,1,1,17f,,,,,,,Participação em congresso,Congresso da Sociedade Brasileira de Medicina Tropical (11o.),Rio de Janeiro (RJ),23/02/1975 - 28/02/1975,,,,,Sociedade Brasileira de Medicina Tropical,,,,,
SBP,1.49.1,Cartão de visita,Unitária,São Paulo (SP),s.d.,Impressão,Papel,Folha,,Português,1,1,1f,,,,,,,Identificação,-,s.l.,s.d.,,,,,,,,,,
SBP,1.49.2,Cartão de visita,Unitária,São Paulo (SP),s.d.,Impressão,Papel,Folha,,Português,1,1,1f,,,,,,,Identificação,-,s.l.,s.d.,,,,,,,,,,
SBP,1.49.3,Carteira funcional,Unitária,São Paulo (SP),s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,,,,,,,Direção,Fundação José Pinto Alves,São Paulo (SP),1944 - 1963,,,,,,,,,,
SBP,1.49.4,Cartão de agradecimento,Unitária,Londres (Reino Unido),21/10/1974,"Impressão, Manuscritura",Papel,Folha,,Inglês,1,1,1f,Royal Society of Tropical Medicine and Hygiene,Remetente,,,,,Filiação a entidades científicas ,Membro de honra da Royal Society of Tropical Medicine and Hygiene,Londres (Reino Unido),1974,,,,,,,,,,
SBP,1.49.5,Boletim escolar,Unitária,São Paulo (SP),29/2/1908,"Impressão, Manuscritura",Papel,Folha,,Português,1,1,1f,Charles W. Armstrong,Signatário,,,,,Discência,Gymnasio Anglo-Brazileiro,São Paulo (SP),1908,,,,,,,,,,
SBP,1.50.1,Depoimento,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,6f,Manoel Severiano dos Passos Rosa,Autor,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.51.1,Depoimento,Unitária,Valência (Venezuela),ago/77,Datilografia,Papel,Folha,,Português,2,3,7f,Leônidas de Mello Deane,Autor,Maria Von Paumgartten Deane,Autor,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.52.1,Necrológio,Unitária,São Paulo (SP),22/8/1977,"Datilografia, Impressão, Manuscritura",Papel,Folha,,Português,1,2,5f,Marcelo O. A. Corrêa,Autor,,,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,,,,,,
SBP,1.53.1,Depoimento,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,8f,Lindolpho R. Guimarães,Autor,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.54.1,Depoimento,Unitária,Belo Horizonte (MG),26/7/1977,"Datilografia, Manuscritura",Papel,Folha,,Português,1,2,3f,Amílcar Vianna Martins ,Autor,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.55.1,Depoimento,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,2,1,6f,Luiz Hildebrando Pereira da Silva,Autor,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,Anexo: bilhete de encaminhamento
SBP,1.55.2,Depoimento,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,2,5f,Luiz Hildebrando Pereira da Silva,Autor,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.56.1,Depoimento,Unitária,São Paulo (SP),28/7/1977,Datilografia,Papel,Folha,,Português,1,1,1f,Renato Pereira,Autor,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.56.2,Depoimento,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,10f,Joaquim Eduardo de Alencar,Autor,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.57.1,Glossário,Unitária,São Paulo (SP),1930,Impressão,Papel,Folha,,Português,1,1,74f,J. T. W. Sadler,Autor,,,,, -, -,,,,,,,,,,,"SADLER, J.T.W. Word list. São Paulo. Casa Duprat-Mayença. 4ª ed. 1930",
SBP,1.58.1,Artigo,Unitária,São Paulo (SP),18/3/1955,Mimeografia,Papel,Folha,,Português,1,1,5f,Samuel Barnsley Pessoa,Autor,,,,,Publicação,"""Os intelectuais e as armas atômicas""",São Paulo (SP),18/3/1955,,,,,Notícias de Hoje,,,,"PESSOA, S.B. Os intelectuais e as armas atômicas. Notícias de Hoje, São Paulo, 18 maio 1955. ", 
SBP,1.58.2,Artigo,Unitária,São Paulo (SP),4/3/1955,Mimeografia,Papel,Folha,,Português,1,1,5f,Samuel Barnsley Pessoa,Autor,,,,,Publicação,"""Ameaça atômica sobre a humanidade""",São Paulo (SP),4/3/1955,,,,,Notícias de Hoje,,,,"PESSOA, S.B. Ameaça atômica sobre a humanidade. Notícias de Hoje, São Paulo, 4 mar. 1955. ",
SBP,1.58.3,Artigo,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,4f,,,,,,,Militância,-,s.l.,s.d.,,,,,,,,,,
SBP,1.59.1 - 1.60.1,Currículo,Unitária,São Paulo (SP),1975,Datilografia,Papel,Folha,,Português,1,2,62f,,,,,,,Identificação,-,s.l.,s.d.,,,,,,,,,,
SBP,1.61.1,Edital,Unitária,São Paulo (SP),5/7/1930,"Impressão, Manuscritura",Papel,Folha,,Português,1,1,1f,,,,,,,Concurso,Concurso para provimento da cadeira de Parasitologia - Faculdade de Medicina da Universidade de São Paulo ,São Paulo (SP),1931,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,"Conservação: rasgo, com prejuízo de leitura"
SBP,1.62.1,Carta de condolências,Unitária,Recife (PE),26/1/1976,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Jamesson Ângelo Ferreira Lima ,Signatário,Jovina Álvares Pessoa,Destinatário,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,Sociedade Brasileira de Escritores Médicos (Regional de Pernambuco),,,,,
SBP,1.62.2,Carta de agradecimento,Unitária,São Paulo (SP),7/2/1977,Datilografia,Papel,Folha,,Português,1,1,1f,Jamesson Ângelo Ferreira Lima ,Destinatário,Jovina Álvares Pessoa,Signatário,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,,,,,,
SBP,1.62.3,Bibliografia,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Inglês,2,1,4f,,,,,,,Participação em comissão,Comissão de personalidades científicas encarregada de examinar os fatos concernentes à guerra bacteriológica na Coreia e na China ,China e Coreia,1952,,,,,,,,,,
SBP,1.63.1,Artigo,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,6f,Samuel Barnsley Pessoa,Autor,,,,,Publicação,"""A arma bacterioógica e o congresso dos povos pela paz""",s.l.,s.d.,,,,,,,,,,
SBP,1.64.1,Memorial,Unitária,São Paulo (SP),1930,Impressão,Papel,Folha,,Português,1,2,5f,,,,,,,Concurso,Concurso para provimento da cadeira de Parasitologia - Faculdade de Medicina da Universidade de São Paulo ,São Paulo (SP),1931,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.65.1,Discurso,Unitária,São Paulo (SP),31/1/1941,"Impressão, Manuscritura",Papel,Folha,,Português,1,1,4f,,,,,,,Formatura,"Paraninfo da turma de doutorandos de 1940, da Faculdade de Medicina da Universidade de São Paulo ",São Paulo (SP),1941,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,Ver 1.70.1
SBP,1.66.1,Conferência,Unitária,São Paulo (SP),9/3/1976,Impressão,Papel,Folha,,Português,1,1,6f,Samuel Barnsley Pessoa,Autor,,,,,Publicação,"""A verdadeira universidade""",São Paulo (SP),09/03/196,Palestra,"""A verdadeira universidade"", proferida no instituto Brasileiro para Investigação da Tuberculose",Salvador (BA),1962,Centro Acadêmico Oswaldo Cruz (Universidade de São Paulo),,,,,
SBP,1.67.1,Arguição,Unitária,Ribeirão Preto (SP),s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,7f,,,,,,,Participação em bancas,"Examinador do concurso para provimento da cadeira de Parasitologia, na Faculdade de Farmácia e Odontologia de Ribeirão Preto",Ribeirão Preto (SP),1966,,,,,Mauro Pereira Barreto ,,,,,
SBP,1.67.2,Discurso,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,2f,,,,,,,Aniversário,Comemoração do 20o. aniversário do Centro Acadêmico Oswaldo Cruz,São Paulo (SP),1933,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,"Conservação: rasgo, com prejuízo de leitura"
SBP,1.68.1,Discurso,Unitária,s.l.,13/6/1944,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,6f,,,,,,,Inauguração,Departamento de Medicina Social do Centro Acadêmico Oswaldo Cruz,São Paulo (SP),13/6/1944,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,
SBP,1.68.2,Discurso,Unitária,São Paulo (SP),13/10/1943,Datilografia,Papel,Folha,,Português,1,1,5f,,,,,,,Formatura,Formatura da turma do 12o. Curso de Puericultura da Cruzada Pró-Infância,São Paulo (SP),13/10/1943,,,,,Rádio Cruzeiro do Sul ,,,,,"Conservação: vincos, sem prejuízo de leitura"
SBP,1.69.1,Aula magna,Unitária,Londrina (PR),4/3/1968,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,9f,,,,,,,Docência,Faculdade de Medicina do Norte do Paraná,Londrina (PR),4/3/1968,,,,,Faculdade de Medicina do Norte do Paraná,,,,,
SBP,1.70.1,Discurso,Unitária,São Paulo (SP),jan/41,Mimeografia,Papel,Folha,,Português,1,1,17f,,,,,,,Formatura,"Paraninfo da turma de doutorandos de 1940, da Faculdade de Medicina da Universidade de São Paulo ",São Paulo (SP),1941,,,,,Faculdade de Medicina da Universidade de São Paulo ,,,,,Ver 1.65.1
SBP,1.71.1,Discurso,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,5f,,,,,,,Titulação honoris causa,"Título de professor honoris causa, outorgado pela Universidade Federal de Goiás",Goiânia (GO),1969,,,,,Universidade Federal de Goiás. Faculdade de Medicina,,,,,Ver 1.72.1
SBP,1.71.2,Discurso,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,7f,Joffre Marcondes de Rezende,Autor,,,,,Titulação honoris causa,"Título de professor honoris causa, outorgado pela Universidade Federal de Goiás",Goiânia (GO),1969,,,,,Universidade Federal de Goiás. Faculdade de Medicina,,,,,
SBP,1.72.1,Discurso,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,6f,,,,,,,Titulação honoris causa,"Título de professor honoris causa, outorgado pela Universidade Federal de Goiás",Goiânia (GO),1969,,,,,Universidade Federal de Goiás. Faculdade de Medicina,,,,,
SBP,1.72.2,Discurso,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,4f,,,,,,,Participação em congresso,Congresso da Sociedade Brasileira de Medicina Tropical (11o.),Rio de Janeiro (RJ),23/02/1975 - 28/02/1975,Homenagem,Homenageado como patrono do Congresso da Sociedade Brasileira de Medicina Tropical (11o.),Rio de Janeiro (RJ),23/02/1975 - 28/02/1975,Sociedade Brasileira de Medicina Tropical,,,,,
SBP,1.73.1,Currículo,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,63f,,,,,,,?,?,,,,,,,,,,,,
SBP,1.73.2,Bibliografia,Unitária,s.l.,s.d.,Manuscritura,Papel,Folha,,Inglês,1,1,2f,,,,,,,Pesquisa,,,,,,,,,,,,,
SBP,1.74.1,Conferência,Unitária,s.l.,s.d.,Mimeografia,Papel,Folha,,Português,1,1,3f,,,,,,,Palestra,"""A verdadeira universidade"", proferida no instituto Brasileiro para Investigação da Tuberculose",Salvador (BA),12/6/1962,,,,,,,,,,
SBP,1.74.2,Artigo,Unitária,s.l.,s.d.,Mimeografia,Papel,Folha,,Português,1,1,9f,Samuel Barnsley Pessoa,Autor,,,,,Publicação,"""Consequências médicas das explosões atômicas""",s.l.,s.d.,,,,,,,,,,
SBP,1.75.1,Anúncio,Unitária,Florianópolis (SC),1978,Mimeografia,Papel,Folha,,Português,1,1,7f,,,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.75.2,Carta de agradecimento,Unitária,São Paulo (SP),8/10/1976,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Jovina Álvares Pessoa,Signatário,David Capistrano da Costa Filho,Destinatário,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1978,,,,,,,,,,
SBP,1.75.3,Carta de agradecimento,Unitária,São Paulo (SP),out/76,"Datilografia, Manuscritura",Papel,Folha,,Português,2,1,2f,Jovina Álvares Pessoa,Signatário,David Capistrano da Costa Filho,Destinatário,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1978,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,Anexo: cartão de encaminhamento
SBP,1.75.4,Prospecto,Unitária,s.l.,s.d.,Mimeografia,Papel,Folha,,Português,1,1,2f,,,,,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,
SBP,1.75.5,Convite,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,José Rubens de Alcântara Bonfim,Signatário,,,,,Congresso,"Mesa redonda Comercialização da Saúde, realizada na Faculdade de Medicina da Universidade de São Paulo  ",São Paulo (SP),24/9/1976,Homenagem póstuma,-,São Paulo (SP),24/9/1976,,,,,,
SBP,1.75.6,Carta de agradecimento,Unitária,São Paulo (SP),8/10/1976,Datilografia,Papel,Folha,,Português,1,1,1f,Jovina Álvares Pessoa,Signatário,José Rubens de Alcântara Bonfim,Destinatário,,,Congresso,"Mesa redonda Comercialização da Saúde, realizada na Faculdade de Medicina da Universidade de São Paulo  ",São Paulo (SP),24/9/1976,Homenagem póstuma,-,São Paulo (SP),24/9/1976,,,,,,
SBP,1.76.1,Anteprojeto,Unitária,Londrina (PR), -/05/1972,"Mimeografia, Impressão",Papel,Folha,,Português,1,1,19f,,,,,,,Organização de Serviços de Saúde,"Unidades de Saúde da ""Vila da Fraternidade"" e do ""Jardim do Sol""",Londrina (PR),s.d.,,,,,Universidade Estadual de Londrina,,,,,
SBP,1.77.1,Anteprojeto,Unitária,Londrina (PR), -/04/1972,"Manuscritura, Mimeografia",Papel,Folha,,Português,1,1,24f,,,,,,,Organização de Serviços de Saúde,Unidade de Saúde de Paiquerê,Londrina (PR),s.d.,,,,,Universidade Estadual de Londrina,,,,,
SBP,1.78.1,Comunicação,Unitária,Londrina (PR), -/06/1973,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,13f,Márcio José de Almeida,Autor,,,,,Congresso,Encontro Científico dos Estudantes de Medicina (5º),Curitiba (PR),08-15/06/1973,,,,,,,,,,
SBP,1.79.1,Discurso,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,19f,,,,,,,Formatura,"Turma de Medicina de 1967, da Faculdade de Medicina da Universidade de São Paulo ",São Paulo (SP),1967,,,,,,,,,,
SBP,1.80.1,Voto de pesar,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,2,1,2f,Raymund Martins,Autor,Sociedade Brasileira de Dermatologia,Remetente,,,Congresso,Congresso Brasileiro de Dermatologia (33o.),Brasília (DF),21/09/1976 - 25/09/1976,Homenagem póstuma,-,Brasília (DF),21/09/1976 - 25/09/1976,,,,,,Anexo: carta de encaminhamento
SBP,1.80.2,Convite,Unitária,Florianópolis (SC),30/3/1977,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Jovina Álvares Pessoa,Destinatário,Abel V. do Rosário,Signatário,Antonio J. F. de Andrade,Signatário,Congresso,Encontro Científico de Estudantes de Medicina do Brasil (9o.),Florianópolis (SC),10/07/1977 - 17/07/1977,Homenagem póstuma,-,Florianópolis (SC),10/07/1977 - 17/07/1977,Universidade Federal de Santa Catarina,,,,,
SBP,1.80.3,Conferência,Unitária,s.l.,s.d.,"Impressão, Manuscritura",Papel,Folha,,Português,1,1,1f,Jacy de Assis,Autor,,,,,Palestra,"""Mensagem de fome e miséria"", proferida no Rotary Clube ",Uberlândia (MG),4/2/1944,,,,,,,,,,
SBP,1.81.1,Relatório,Unitária,s.l.,s.d.,Mimeografia,Papel,Folha,,Português,1,1,15f,,,,,,,Relacionamento profissional,-,Botucatu (SP),s.d.,,,,,Universidade Estadual Paulista. Faculdade de Ciências Médicas e Biológicas,,,,,
SBP,1.81.2,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBP,1.82.1,Relatório,Unitária,Monteiro Lobato (SP),mai/75,Mimeografia,Papel,Folha,,Português,1,2,9f,,,,,,, -, -,,,,,,,,,,,,FARMACOPÉIA RURAL - As espécies mais usadas pela população do Bairro das Casinhas - Município de Monteiro Lobato - Estado de São Paulo. 1975. Mimeografado.
SBP,1.83.1,Panfleto,Unitária,s.l.,s.d.,Impressão,Papel,Folha,,Português,1,3,1f,,,,,,,Militância,-,s.l.,s.d.,,,,,,,,,,
SBP,1.83.2,Artigo,Unitária,s.l.,s.d.,Datilografia,Papel,Folha,,Português,1,1,2f,,,,,,,Militância,-,s.l.,s.d.,,,,,,,,,,
SBP,1.83.3,Panfleto,Unitária,s.l.,s.d.,Mimeografia,Papel,Folha,,Português,1,1,2f,,,,,,,Militância,-,s.l.,s.d.,,,,,,,,,,Ver 1.83.1
SBP,1.84.1,Artigo,Unitária,São Paulo (SP),1965,Impressão,Papel,Folha,,Português,1,1,9f,Luís dos Santos,Autor,Tereza Freire Vieira,Autor,,,Relacionamento profissional,-,São Paulo (SP),1965,,,,,Revista do Instituto Adolfo Lutz,,,,,
SBP,1.85.1,Relatório,Unitária,Washington (Estados Unidos),1976,Impressão,Papel,Folha,,Português,1,1,12f,Jack W. Millar,Signatário,,,,,Relacionamento profissional,-,s.l.,1976,,,,,Gorgas Memorial Institute of Tropical and Preventive Medicine,,,,,
SBP,1.86.1,Necrológio,Unitária,Ribeirão Preto (SP),s.d.,Impressão,Papel,Folha,,Português,1,1,6f,Samuel Barnsley Pessoa,Autor,,,,,Falecimento,Falecimento de José Lima Pedreira de Freitas,Ribeirão Preto (SP),15/6/1966,,,,,,,,,"PESSOA, S.B. Professor José Lima Pedreira de Freitas (traços biográficos). Esteto em Revista, s.l., s.d.", 
SBP,1.87.1,Artigo,Unitária,s.l.,s.d.,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,9f,N. K. Schipitsina,Autor,Z. M. Dyldina,Autor,,,Pesquisa,-,s.l.,s.d.,,,,,,,,,,"Conservação: vincos e rasgos, com prejuízo de leitura"
SBP,1.88.1,Telegrama de comunicação de decisão,Unitária,Rio de Janeiro (RJ),12/3/1964,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Wilson Fadul,Signatário,,,,,Premiação,"Nomeação para a Ordem do Mérito Médico, no grau de grã-cruz",Rio de Janeiro (RJ),mar/64,,,,,,,,,,
SBP,1.88.2,Carta de pedido de documentos,Unitária,Rio de Janeiro (RJ),17/3/1964,"Datilografia, Manuscritura",Papel,Folha,,Português,1,1,1f,Cláudio Magalhães da Silveira,Signatário,Ministério da Saúde. Gabinete do ministro,Remetente,,,Premiação,"Nomeação para a Ordem do Mérito Médico, no grau de grã-cruz",Rio de Janeiro (RJ),mar/64,,,,,,,,,,
SBP,1.88.3,Necrológio,Unitária,São Paulo (SP),out/76,"Datilografia, Manuscritura",Papel,Folha,,Português,2,1,3f,José Vicente Martins Campos,Autor,,,,,Falecimento,Falecimento de Samuel Barnsley Pessoa,São Paulo (SP),3/9/1976,,,,,Arquivos de Gastroenterologia,,,,,Anexo: carta de encaminhamento
SBP,1.89.1,Discurso,Unitária,Brasília (DF),fev/77,Datilografia,Papel,Folha,,Português,1,1,5f,Aluízio Rosa Prata,Autor,,,,,Congresso,Congresso da Sociedade Brasileira de Medicina Tropical (13o.),Brasília (DF),27/02/1977 - 03/03/1977,Congresso,Congresso da Sociedade Brasileira de Parasitologia (2o.),Brasília (DF),27/02/1977 - 03/03/1977,,,,,,
SBP,1.89.2,Depoimento,Unitária,Nova York (Estados Unidos),ago/77,"Impressão, Manuscritura",Papel,Folha,,Português,2,2,6f,Victor Nussenzweig,Autor,Ruth Sonntag Nussenzweig,Autor,,,Publicação,Ensaios médico-sociais (2a. edição),São Paulo (SP),1978,,,,,,,,,,Anexo: carta de encaminhamento
SBP,1.90.1,Convite,Unitária,São Paulo (SP),1954,"Impressão, Manuscritura",Papel,Folha,,Português,1,1,8f,Cyro Rubens Álvares Pessoa,Signatário,,,,,Formatura,"Formatura de seu filho, Cyro Ruben Álvares Pessoa, aluno da turma de 1954 da Escola Politécnica da Universidade de São Paulo",São Paulo (SP),17/1/1955,Relacionamento familiar,-,s.l.,s.d.,,,,,,
SBP,1.90.2,Bibliografia,Unitária,Goiânia (GO),abr/72,Impressão,Papel,Folha,,Português,1,1,13f,,,,,,,Aniversário,Comemoração do cinquentenário de formatura de Samuel Barnsley Pessoa,São Paulo (SP),abr/72,,,,,Revista de Patologia Tropical,,,,,
SBP,1.91.1,Cédula de identidade,Unitária,São Paulo (SP),20/12/1956,"Datilografia, Impressão, Manuscritura",Papel,Folha,,Português,1,1,1f,,,,,,,Identificação,-,s.l.,s.d.,,,,,,,,,,"Conservação: rasgo, fita adesiva"
SBP,1.91.2,Convite,Unitária,São Paulo (SP),mai/63,Impressão,Papel,Folha,,Português,1,1,1f,Instituto de Medicina Tropical de São Paulo,Remetente,,,,,Publicação,Endemias parasitárias da zona rural brasileira ,São Paulo (SP),1963,Lançamento de obra,"Cerimônia de lançamento do livro Endemias parasitárias da zona rural brasileira, na biblioteca do Instituto de Medicina Tropical de São Paulo",São Paulo (SP),22/5/1963,,,,,,
SBP,1.92.1 - 1.113.1,Ilustrações ,Serial,s.l.,s.d.,Impressão,Papel,Folha,,Português,136,1,105f,,,,,,,Publicação,Elementos de Zoologia (invertebrados),São Paulo (SP),dez/52,,,,,,,,,"PESSOA, S.B. Elementos de Zoologia (invertebrados). São Paulo: Faculdade de Medicina da USP, 1952. ",
SBP,1.114.1,Artigo,Unitária,São Paulo (SP),11/10/1941,"Impressão, Manuscritura",Papel,Folha,,Português,1,1,1f,Samuel Barnsley Pessoa,Autor,,,,,Publicação,"""Os hospitais e a saúde pública""",São Paulo (SP),11/10/1941,,,,,Folha da Manhã,,,,"PESSOA, S.B. Os hospitais e a saúde pública. Folha da Manhã, São Paulo, 11 out. 1941. ",
SBP,1.114.2,Conferência,Unitária,São Paulo (SP),18/5/1955,Impressão,Papel,Folha,,Português,1,1,1f,Samuel Barnsley Pessoa,Autor,,,,,Publicação,"""Os intelectuais e as armas atômicas""",São Paulo (SP),18/5/1955,Palestra,"""Os intelectuais e as armas atômicas"", proferida na Biblioteca Pública Municipal",São Paulo (SP),mai/55,Notícias de Hoje,,,,"PESSOA, S.B. Os intelectuais e as armas atômicas. Notícias de Hoje, São Paulo, 18 maio 1955. ",
SBP,1.114.3,Entrevista,Unitária,Recife (PE),28/10/1949,"Impressão, Manuscritura",Papel,Folha,,Português,1,1,1f,Samuel Barnsley Pessoa,Autor,,,,,Missão,Visita aos serviços de higiene rural do estado de Pernambuco,Recife (PE),out/49,Publicação,"""Melhores dias para a recuperação sanitária do nosso homem rural""",Recife (PE),28/10/1955,Jornal do Commercio,,,,"PESSOA, S.B. Melhores dias para a recuperação sanitária do nosso homem rural. Jornal do Commercio, Recife, 28 out. 1949.",
