ID,NOME,TITULO,QUALIFICACAO,DISCIPLINA,UNIVERSIDADE,ORIENTADOR,PAG,PALAVRASCHAVE,ANO,LINK
82,Ana Maria do Perpetuo Socorro dos Santos,O forte do Iguatemi : atalaia do imperio colonial e trincheira da memoria dos indios Kaiowa da Paraguassu,Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,Hector H. Bruit Cabrera,152 p.,"índios da Am. Do Sul - direito Constitucional, índios guarani - biografia, posse da terra",00/00/2002,http://repositorio.unicamp.br/handle/REPOSIP/282019
83,Ana Maria Melo e Souza   ,"Ritual, identidade e metamorfose: representações do Kunumi Pepy entre os índios Kaiowá da aldeia Panambizinho",Mestrado. ,Etnologia indígena,Universidade Federal da Grande Dourados,Graciela Chamorro,135 p.,"identidade, ritual, Kunumi Pepy, Kaiowá",00/00/2009,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=155446
84,Ana Maria Ramo y Affonso,O corpo do xamã e a passagem de Carlos Castaneda,Mestrado,Etnologia indígena,Universidade Federal de Minas Gerais,Ruben Caixeta de Queiroz,93 p.,Xamanismo; Antropologia; Modos de Conhecimento; Etnologia; Transformação,00/00/2008,
85,Ana Maria Ramo y Affonso,De pessoas e palavras entre os Guarani-Mbya,Doutorado,Etnologia indígena,Universidade Federal Fluminense,Tânia Stolze Lima,380 p.,"Guarani-Mbya, movimento, pessoa, troca, socialidade",00/00/2014,http://ppgantropologia.sites.uff.br/wp-content/uploads/sites/16/2016/07/Tese-Ana-Ramo1.pdf
86,Ana Milena Horta Prieto,"Aproximación a la cosmopolítica de los colectivos indígenas de la Sierra Nevada de Santa Marta: ley de sé, estado y patrimonio",Mestrado,Etnologia indígena,Universidade Federal do Rio Grande do Sul,Sergio Baptista da Silva,169 p.,Cosmopolítica; Territorialidades Indígenas; Sierra Nevada de Santa Marta; Estado; Objetos; Patrimônio,00/00/2015,http://www.lume.ufrgs.br/handle/10183/129003 
87,Ana Paula da Costa Krumel,Escola pública Mbyá Guarani Tekoa Porã: entre a preservação e o aniquilamento cultural,Mestrado,Etnologia indígena,Universidade do Vale do Rio dos Sinos,Solon Eduardo Annes Viola,157 p.,Educação Escolar Indígena; Políticas Públicas; Legislação Indigenista; Ações Afirmativas; Educação Tradicional Mbyá Guarani,00/00/2014,http://www.repositorio.jesuita.org.br/handle/UNISINOS/4534?show=full
88,Anai Graciela Vera Britos,Convivendo na terra de Ñane Ramõi Jusu Papa: uma etnografia das relações entre os Paí Tavyterã e os animais,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Rafael José de Menezes Bastos,197p.,"humanos e não-humanos, animais domésticos, paí tavyterã, natureza e cultura",00/00/2015,http://tede.ufsc.br/teses/PASO0371-D.pdf
89,Anderson Rocha de Almeida,Da Unicidade Virtual A Polifonia Real: Micropolíticas Ticuna No Alto Solimões - Am/Brasil,Mestrado,Etnologia indígena,Universidade Federal do Amazonas,João Pacheco de Oliveira,122p.,"povo ticuna, etnopolítica, movimento indígena, associativismo, institucionalização",00/00/2015,http://www.ppgas.ufam.edu.br/attachments/article/10/Disserta%C3%A7%C3%A3o%20-%20Anderson%20Rocha%20de%20Almeida%20-%20Da%20unicidade....pdf
90,André Essefelder Borges,Caminhos da cultura indígena: o peabiru e o neoindianismo,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Oscar Calavia Saez,141p.,"caminho do peabiru, memória, construção contextualizada, neo-indianismo",00/00/2006,http://www.tede.ufsc.br/teses/PASO0180.pdf
91,André Gondim do Rego,"""Uma aldeia diferenciada"": conflitos e sua administração em Coroa Vermelha/BA",Doutorado,Etnologia indígena,Universidade de Brasília,Luís Roberto Cardoso de Oliveira,209 p.,"administração de conflitos, Pataxó, Coroa Vermelha",00/00/2012,http://repositorio.unb.br/handle/10482/13135
92,Andre Luiz Martini,"Filhos do homem : a introdução da piscicultura entre populações indigenas no povoado de Iauarete, rio Uaupes",Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,Nadia Farage,169 p.,"cosmologia, rio (AM), piscicultura, pesca - Uaupes, etnologia, índios da Am. Do Sul - aspectos sociais",00/00/2008,http://repositorio.unicamp.br/handle/REPOSIP/279103
93,Andrea Borghetti,"Tekó, Tekoá, Nhanderecó e Oguatá: territorialidade e deslocamento entre os Mbyá-Guarani",Mestrado,Etnologia indígena,Universidade de Brasília,Wilson Trajano Filho,144 p.,"Territorialidade, mobilidade, deslocamento, Mbyá-Guarani",00/00/2014,http://repositorio.unb.br/handle/10482/17402
94,Andréa Cristina Almeida,Consciência argumentativa entre as educadoras Tupinikim de Aracruz-ES que atuam nas primeiras quatro séries do ensino fundamental de escolas indígenas,Mestrado. ,Etnologia indígena,Pontifícia Universidade de São Paulo,"Alipio Marcio Dias Casali
",218 p.,"índios tupinikin - educação, currículo, ensino fundamental",00/00/2007,https://sapientia.pucsp.br/handle/handle/10005
95,Andrea Ponce Garcia,Trajetória da(s) memória(s) Aikewara: do evento da Guerrilha do Araguaia até a Comissão de Anistia no atual contexto de revisão da ditadura brasileira,Mestrado,Etnologia indígena,Universidade Estadual de Campinas,José Maurício P. A. Arruti,194 p.,"Suruí Aikewara, memória, ditadura, Guerrilha do Araguaia, violência",00/00/2015,http://www.repositorio.unicamp.br/handle/REPOSIP/279657
96,Andreia Aparecida Ferreira Lopes,Corpo e saude entre os Guarani,Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"Jose Luiz dos Santos 
",230 p.,"índios guarani, antropologia médica, saúde, corpo",00/02/2001,http://repositorio.unicamp.br/handle/REPOSIP/278681
97,Andreia Cunha ,Território e povos indígenas ,Mestrado. ,Etnologia indígena,Pontifícia Universidade Católica do Paraná,Carlos Frederico Mares de Souza Filho ,165 p.,"direito, índios da Am. Do Sul - estatuto legal, posse da terra, direito ambiental",00/00/2006,http://www.biblioteca.pucpr.br/tede/tde_busca/arquivo.php?codArquivo=412
98,Andrey Cordeiro Ferreira,Tutela e resistência indígena: etnografia e história das relações de poder entre os Terena e o Estado brasileiro ,Doutorado,Etnologia indígena,Universidade Federal do Rio de Janeiro,João Pacheco de Oliveira,420 p.,"dominação e resistência, etnografia, Terena",00/02/2007,https://xa.yimg.com/kq/groups/1624466/1174342813/name/Tutela+e+Resist%C3%AAncia+Ind%C3%ADgena.pdf
99,Aneliese Nacke,Índio e a terra: a luta pela sobrevivência no P.I Xapecó - SC,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Silvio Coelho dos Santos,200p.,"exploração dos recursos naturais, Xapecó, Kaingang, identidade étnica",00/00/1983,http://tede.ufsc.br/teses/PASO0033-D.pdf
100,Angel H. Corbera Mori,"Fonologia e gramatica do Aguaruna (Jivaro)
",Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,"Lucy Seki 
",398 p.,"índios da Am. Do Sul, Peru, línguas",00/00/1994,http://repositorio.unicamp.br/handle/REPOSIP/269977
101,Angela Célia Sacchi,Antropologia de gênero e etnologia Kaingang: uma introdução ao estudo de gênero na área indígena Mangueirinha/Paraná,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Oscar Calavia Saez,138p.,"Kaingang, gênero, matrimônio, posição social da mulher",00/00/1999,http://tede.ufsc.br/teses/PASO0082-D.pdf
102,Angela Célia Sacchi Monagas,"União, Luta, Liberdade e Resistência: As Organizações de Mulheres Indígenas da Amazônia Brasileira",Doutorado,Etnologia indígena,Universidade Federal de Pernambuco,Renato Monteiro Athias ,261 p.,"Política, Mulheres Indígenas, Organizações Indígenas",00/00/2006,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=154209
103,Angela Fabíola Alves Chagas,"Aspectos semânticos, morfológicos e morfossintáticos das palavras descritivas Apurinã
",Mestrado. ,Etnologia indígena,Universidade Federal do Pará,Marília de Nazaré de Oliveira Ferreira,129 p.,"língua apurinã, verbo intransitivo, descritivos, aspecto lexical",00/00/2007,http://repositorio.ufpa.br/jspui/bitstream/2011/1724/1/Dissertacao_AspectosSemanticosMorfologicos.pdf
104,Angela Kurovski,Anfitriões Guerreiros: um estudo sobre rivalidades e generosidades nos Kagwahiwa Parintintim,Mestrado,Etnologia indígena,Universidade Federal do Paraná,Marcos Lanna,,,,
105,Angélica Maia Vieira,Os Paumari e o peixe-boi: da concepção histórica a prática da pesca,Mestrado,Etnologia indígena,Universidade Federal do Amazonas,Gilton Mendes dos Santos,132p.,"paumari, peixe boi, cosmologia, pesca",00/00/2013,http://www.ppgas.ufam.edu.br/attachments/article/8/Disserta%C3%A7%C3%A3o%20-%20Ang%C3%A9lica%20Vieira%20-%20Os%20Paumari.pdf
106,Ângelo Emilio da Silva Pessoa,"As ruínas da tradição: A Casa da Torre de Garcia D Ávila - família e propriedade no nordeste colonial
",Doutorado,Etnologia indígena,Universidade de São Paulo,Nanci Leonzo,308 p.,"índios, pecuária colonial, conquista territorial, sertão, conflito, Bahia",00/00/2003,http://www.teses.usp.br/teses/disponiveis/8/8138/tde-03102005-103312/pt-br.php
107,Anna Elizabeth Lago de Azevedo ,O Diretório Pombalino em Pernambuco ,Mestrado. ,Etnologia indígena,Universidade Federal de Pernambuco,Sylvana Maria Brandão de Aguiar ,131 p.,"igreja, Pernambuco colonial, administração pombalina, história indígena, legislação",00/00/2004,http://repositorio.ufpe.br/handle/123456789/7814
108,Anselmo Alencar Colares,"Colonização, catequese e educação no grão-para",Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,"José Claudinei Lombardi 
",202 p.,"catequese, índios da Am. Do Sul, jesuítas, colonização, educação",00/00/2003,http://repositorio.unicamp.br/bitstream/REPOSIP/252294/1/Colares_AnselmoAlencar_D.pdf
109,Antonio Cavalcante de Almeida,Da aldeia para o Estado: os caminhos do empoderamento e o papel das lideranças Kaingang na conjuntura do movimento indígena,Doutorado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Rinaldo Sérgio Vieira Arruda,251 p.,"empoderamento, liderança, movimento indígena, Kaingang",00/00/2013,https://sapientia.pucsp.br/handle/handle/3513
110,Antonio Jonas Dias Filho,Sobre os viventes do Rio Doce e da Fazenda Guarany: dois presídios federais para índios durante a Ditadura Militar,Doutorado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Carmen Sylvia de Alvarenga Junqueira,255 p.,"povos indígenas, Ditadura Militar, reformatórios, anistia",00/00/2015,https://sapientia.pucsp.br/handle/handle/3611
111,Antonio Jose Filho,"A performatividade na linguagem dos Kaiowa/Guarani
",Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,"Kanavillil Rajagopalan 
",178 p.,"índios kaiowa, professores - formação, identidade, linguagem, educação, atos de fala",00/00/2005,http://repositorio.unicamp.br/handle/REPOSIP/271142
112,Antonio Roberto Guerreiro Júnior,Parentesco e aliança entre os Kalapalo do Alto Xingu,Mestrado. ,Etnologia indígena,Universidade Federal de São Carlos,Marina Denise Cardoso,219p.,"índios Kalapalo, Alto Xingu, parentesco e casamento, etnologia",00/00/2008,https://repositorio.ufscar.br/bitstream/handle/ufscar/1471/1804.pdf?sequence=1&isAllowed=y
113,Antônio Roberto Guerreiro Júnior,Ancestrais e suas sombras: uma etnografia da chefia kalapalo e seu ritual mortuário,Doutorado,Etnologia indígena,Universidade de Brasília,Marcela Stockler Coelho de Souza,511 p.,"Kalapalo, etnologia, índios da América do Sul, ritos e cerimônias fúnebres",00/00/2012,http://repositorio.unb.br/handle/10482/10711
114,Aparecida Augusta da Silva,Em busca do diálogo entre duas formas distintas de conhecimentos matemáticos,Doutorado,Etnologia indígena,Universidade de São Paulo,Marcos Barbosa de Oliveira,174 p.,"educação escolar indígena, etnia Gavião/Ikólóéhj, etnomatemática, interculturalidade, modelagem matemática",00/00/2008,http://www.teses.usp.br/teses/disponiveis/48/48134/tde-16032009-105405/pt-br.php
115,Aquiles Santos Pinheiro ,"Identidade, língua e cultura: usos sociais e políticos do Nheengatu na Comunidade Indígena Cartucho, Médio Rio Negro-AM",Mestrado,Etnologia indígena,Universidade Federal do Amazonas,Frantomé Bezerra Pacheco,162p.,"usos sociais da linguagem, sociedade multilingue e multi-étnica, afirmação da identidade, ideologia, língua, educação indígena",00/00/2011,http://www.ppgas.ufam.edu.br/attachments/article/6/Dissertacao7%20-%20Aquiles%20Pinheiro%20-%20Identidade.pdf
116,Araci Maria Labiak,"""Frutos do céu"" e ""frutos da terra"": aspectos da cosmologia kanamari no warapekom",Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,182p.,"kanamari, warapekom, cosmologia",00/00/1997,http://tede.ufsc.br/teses/PASO0063-D.pdf
117,Ari Ghiggi Junior,Uma abordagem relacional da atenção à saúde a partir da terra indígena Xapecó,Doutorado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,376p.,"índios kaingang, atenção à saúde, abordagem relacional",00/00/2015,http://tede.ufsc.br/teses/PASO0383-T.pdf
118,Ari Ghiaggi Junior,Estudo etnográfico sobre alcoolização entre os índios Kaingang da terra indígena Xapecó: das dimensões construtivas à perturbação,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,130p.,"alcoolização, índios kaingang, etnologia indígena",00/00/2010,http://www.tede.ufsc.br/teses/PASO0263-D.pdf
119,Arianne Rayis Lovo,"""Lá, sendo o lugar deles, é também o meu lugar"": pessoa, memória e mobilidade entre os Pankararu",Mestrado,Etnologia indígena,Universidade Estadual de Campinas,José Maurício P. A. Arruti,132 p.,"pessoa, memória, casa, mobilidade, índios Pankararu",00/00/2017,http://www.repositorio.unicamp.br/handle/REPOSIP/322484
120,Ariel David Ferreira,Caminhos e sujeitos no adoecimento e na cura entre os Akwẽ Xerente ,Mestrado,Etnologia indígena,Universidade Federal de Goiás,Joana Aparecida Fernandes da Silva,127p.,"antropologia da saúde, akwe xerente, itinerários terapêuticos",00/00/2016,http://www.ppgas.cienciassociais.ufg.br/up/188/o/2014_-_Ariel.pdf
121,Aristóteles Barcelos Neto,"Arte, estética e cosmologia entre os índios Waurá da Amazônia Meridional",Mestrado,Etnologia indígena,Universidade Federal de Santa Catarina,Rafael José de Menezes Bastos,236p.,"artes visuais, cosmologia, Waurá, Parque Indígena do Xingu",00/00/1999,http://tede.ufsc.br/teses/PASO0083-D.pdf
122,Arthur Shaker Fauzi Eid,Romhõsi'wai hawi rowa'õno re ihöimana mono: a Criação do mundo segundo os velhos narradores Xavante,Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,"Robin Michael Wright 
",390 p.,"antropologia filosófica, religiões, xamanismo, índios Xavante, tradição, cosmologia, religião e mitologia, espiritualidade, metafísica, humanidades, etnologia",00/00/2002,http://www.repositorio.unicamp.br/handle/REPOSIP/280926
123,Artionka Manuela Góes Capiberibe,Nas duas margens do rio: alteridade e transformações entre os Palikur na fronteira Brasil/Guiana Francesa,Doutorado,Etnologia indígena,Universidade Federal do Rio de Janeiro,Aparecida M. Neiva Vilaça,444 p.,"Palikur, transformações sociais, mitologia e etnografia",00/00/2009,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=134500
124,Augusto Marcos Fagundes Oliveira,"Ser pataxó : educação e identidade cultural.
",Mestrado. ,Etnologia indígena,Universidade Federal da Bahia,Marli Geralda Teixeira,302 p.,"índios, educação, grupo étnico, comunidade, cultura, sociedade indígena, identidade, pessoa, sociedade nacional",00/00/2002,https://www.repositorio.ufba.br/ri/handle/ri/11816
125,Bárbara Bustos Barrera,O contexto sociopolítico da realização dos ngillatun entre os Mapuche do Tranaman no sul do Chile,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,189p.,"Ngillatun, Mapuche, expressões rituais",00/00/2006,http://www.tede.ufsc.br/teses/PASO0198-D.pdf
126,Bárbara Francisca Bustos Barrera,O estatuto da comunidad indígena e a realização do Ngillatun entre os Mapuche de Tranaman no sul do Chile: dinâmicas organizacionais e transformações sociopolíticas,Doutorado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,278p.,"dinâmicas sócio - organizacionais, comunidad indígena, mapuche, ritual, niggiltun",00/00/2014,http://tede.ufsc.br/teses/PASO0349-T.pdf
127,Barbara Maisonnave Arisi,"Matis e Korubo: contato e índios isolados, relações entre povos no vale do Javari, Amazônia",Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Oscar Calavia Saez,149p.,"índios da américa do sul - amazonas, terra indígena do vale do javari, grupo língua pano, matis, korubo, relações inter-tribais, etnologia, etnografia",00/00/2007,http://tede.ufsc.br/teses/PASO0186.pdf
128,Barbara Maisonnave Arisi,"A dádiva, a sovinice e a beleza: economia da Cultura Matis, Vale do Javari, Amazônia",Doutorado.,Etnologia indígena,Universidade Federal de Santa Catarina,Oscar Calavia Saez,559p.,"etnologia, economia, ritual, mídia, turismo, pano, matis, vale do javari, amazônia",00/00/2011,http://www.tede.ufsc.br/teses/PASO0283-T.pdf
129,Beatriz Catarina Maestri,O CIMI e o povo Xokleng: uma análise da atuação missionária na terra indígena Ibirama,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Silvio Coelho dos Santos,162p.,"Xokleng, missionários, CIMI",00/00/2007,https://repositorio.ufsc.br/bitstream/handle/123456789/80298/177024.pdf?sequence=1&isAllowed=y
130,Beatriz de Almeida Matos,Os Matsés e os outros: elementos para a etnografia de um povo indígena do Javari ,Mestrado. ,Etnologia indígena,Universidade Federal do Rio de Janeiro,Eduardo Viveiros de Castro,121 p.,"descrição etnográfica, Matsés, relações de parentesco, rituais",00/00/2001,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=133980
131,Beatriz Perrone-Moises,Legislação indigenista colonial : inventario e indice,Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,Manuela Carneiro da Cunha,242 p.,"índios, legislação, Brasil",00/00/2009,
132,Benedito Antônio Genofre Prezia,"Os Tupi de Piratininga: acolhida, resistência e colaboração",Doutorado,Etnologia indígena,Pontifícia Universidade Católica de São Paulo,Lucia Helena Vitali Rangel,407 p.,"jesuítas - missões, São Paulo - História, índios tupi, resist~encia indígena",00/00/1990,https://sapientia.pucsp.br/handle/handle/3985
133,Brisa Catão Totti,"Os Yanomami, a Hutukara, e os desafios do seu pacto político",Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Márnio Teixeira Pinto,192p.,"associações indígenas, amazônia, yanomami, política indígena",00/00/2013,https://repositorio.ufsc.br/handle/123456789/106829
134,Bruno Leonardo Barros Ferreira,A (re)produção do modo de ser Awá: dinâmicas de socialização na aldeia Juriti,Mestrado,Etnologia indígena,Universidade Federal do Maranhão,Elizabeth Maria Beserra Coelho,111p.,"Índios, socialização, territorialização",00/00/2011,http://www.ppgcsoc.ufma.br/index.php?option=com_docman&task=doc_download&gid=307&Itemid=120
135,Bruno Ribeiro Marques,Figuras do movimento: os Hupda na literatura etnológica do Alto Rio Negro ,Mestrado. ,Etnologia indígena,Universidade Federal do Rio de Janeiro,Eduardo Viveiros de Castro,206 p.,"Hupda, etnologia, Alto Rio Negro",00/00/2009,
136,Caléu Nilson Morais,"O canibal partido ao meio: perspectivas de sacrifício, canibalismo e antropofagia na literatura tupi-nológica",Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Oscar Calavia Saez,135p.,"canibalismo, antropofagia, sacrifício, ameríndios, tupinambá, jesuítas, cronistas, viajantes, etnologia, religião, vingança ",00/00/2009,http://www.tede.ufsc.br/teses/PASO0245-D.pdf
137,Camila Azevedo de Moraes,Arqueologia Tupi no nordeste de São Paulo: um estudo de variabilidade artefatual,Mestrado. ,Etnologia indígena,Universidade de São Paulo,Marisa Coutinho Afonso,391 p.,"arqueologia paulista, arqueologia tupi, estilo tecnológico, tradição Tupi-Guarani, variabilidade artefatual",00/00/2007,http://www.teses.usp.br/teses/disponiveis/71/71131/tde-10072007-155042/pt-br.php
138,Camila Boldrin Beltrame,Etnografia de uma escola Xikrin,Mestrado,Etnologia indígena,Universidade Federal de São Carlos,Clarice Cohn,166 p.,"antropologia social, educação escolar indígena, Xikrin do Bacajá, Mebengokré",00/00/2013,https://repositorio.ufscar.br/handle/ufscar/231
139,Camila Guedes Codonho,"Aprendendo entre pares: a transmissão horizontal de saberes entre as crianças indígenas Galibi-Marworno (Amapá, Brasil)
",Mestrado. ,Etnologia indígena,Universidade Federal de Santa Catarina,Antonella Maria Imperatriz Tassinari,134 p.,"índios, educação, crianças, antropologia",00/00/2007,https://repositorio.ufsc.br/handle/123456789/90189
140,Camila Mainardi,Construindo proximidades e distanciamentos: etnografia Tupi Guarani da Terra Indígena Piaçagüera/SP,Mestrado,Etnologia indígena,Universidade Federal de São Carlos,Clarice Cohn,98 p.,"antropologia social, etnologia, territorialidade, cultura, Tupi Guarani, Guarani Mbya",00/00/2010,https://repositorio.ufscar.br/handle/ufscar/206
141,Carla Fabiana Costa Calarge,Quando permanecer é resistir: a comunidade indígena Bororo de Jarudori,Mestrado.,Etnologia indígena,Universidade Federal da Grande Dourados,Antonio Hilário Aguilera Urquiza,134p.,"identidade, territorialidade, conflitos territoriais, bororo",,
142,Carla Maria Cunha,Um estudo de fonologia da lingua Makuxi (karib) : inter-relações das teorias fonologicas,Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,"Wilmar da Rocha D'Angelis 
",192 p.,"pindios macuxi, família karib, língua, fonologia",00/00/2004,http://repositorio.unicamp.br/handle/REPOSIP/268996
143,Carla Siqueira Campos,Por uma Antropologia Ecológica dos Fulni-ô de Águas Belas,Mestrado. ,Etnologia indígena,Universidade Federal de Pernambuco,Peter Wilfried Schröder,119 p.,"antropologia ecológica, sustentabilidade, meio ambiente, índios",00/00/2006,http://repositorio.ufpe.br/handle/123456789/961
144,Carlos Alberto Casas Mendoza,"Nos olhos do outro : nacionalismo, agencias indigenistas, educação e desenvolvimento, Brasil-Mexico (1940-1970)
",Doutorado,Etnologia indígena,Universidade Estadual de Campinas ,John M. Monteiro,291 p.,"índios tzotzil - Identidade étnica, antropologia aplicada, indigenistas, nacionalismo, educação, índios karaja - identidade étnica, modernidade",00/00/2005,http://repositorio.unicamp.br/handle/REPOSIP/279895
145,Carlos Andrés Oviedo Ospina,"Cabildo indígena e construção do estado-nação. Etnografia do processo organizativo de vitimas da violência em Cauca, Colômbia",Mestrado,Etnologia indígena,Universidade de Brasília,Carla Costa Teixeira,140 p.,"Comunidade indígena, cabildo, vítimas de violência, antropologia do estado, Colômbia",00/00/2014,http://repositorio.unb.br/handle/10482/16581
146,Carlos Cesar Leal Xavier,A cidade grande de Ñapirikoli e os petroglifos do Içana: uma etnografia de signos Baniwa ,Mestrado. ,Etnologia indígena,Universidade Federal do Rio de Janeiro,Carlos Fausto,209 p.,"Baniwa, Alto Rio Negro, vida social dos signos, oralidade e memória",00/00/2008,http://livros01.livrosgratis.com.br/cp059849.pdf
147,Carlos Eduardo Costa,Ikindene Hekugu: Uma etnografia da luta e dos lutadores no Alto Xingu,Doutorado,Etnologia indígena,Universidade Federal de São Carlos,Luiz Henrique de Toledo,350 p.,"Kalapalo, antropologia, Alto Xingu, corpo, antropologia das práticas esportivas",00/00/2013,https://repositorio.ufscar.br/handle/ufscar/233
148,Carlos Eduardo Neves de Moraes,"A refiguração da Tava Miri São Miguel na meória coletiva dos Mbyá-Guarani nas Missões/RS, Brasil",Mestrado,Etnologia indígena,Universidade Federal do Rio Grande do Sul,Cornelia Eckert,197 p.,Mbyá-Guarani; Memória Coletiva; Tava Miri; Missões,00/00/2010,http://www.lume.ufrgs.br/handle/10183/26729
149,Carlos Frederico Lucio,Sobre algumas formas de classificação social : etnografia sobre os Karitiana de Rondonia (Tupi-Arikem),Mestrado. ,Etnologia indígena,Universidade Estadual de Campinas ,"Guilhermo Raul Ruben
",187 p.,"cosmologia, genealogia, língua Tupi, índios da Am. Do Sul, estrutura social, etnologia",00/00/1996,http://repositorio.unicamp.br/handle/REPOSIP/280525
150,Carmem Lucia Silva Lima ,Trajetórias entre contextos e mediações: a construção da etnicidade Potiguara na Serra das Matas ,Mestrado. ,Etnologia indígena,Universidade de Brasília,Renato Monteiro Athias ,161 p.,"antropologia, escola indígena, etnicidade, direitos indígenas",00/00/2007,http://repositorio.ufpe.br/handle/123456789/767
151,Carmen Hannud Carballeda Adsuara,Unatí yapey! Aspectos da vida Terena em Araribá,Mestrado,Etnologia indígena,"Universidade Estadual Paulista ""Júlio de Mesquita Filho"" - Araraquara",Paulo José Brando Santilli,134 p.,"Terena, bem viver, etnologia, antropologia",00/00/2016,https://repositorio.unesp.br/handle/11449/143768
152,Carmen Lucia da Silva,Sobreviventes do extermínio: uma etnografia das narrativas e lembranças da sociedade xetá,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Esther Jean Langdon,306p.,"etnografia do contato da sociedade Xetá, narrativas biográficas, lembranças",00/00/1998,http://tede.ufsc.br/teses/PASO0081-D.pdf
153,Carmen Lúcia Silva Lima,"Etnicidade indígena no contexto urbano: uma etnografia sobre os Kalabaça, Kariri, Potiguara, Tabajara e Tupinambá de Crateús",Doutorado,Etnologia indígena,Universidade Federal de Pernambuco,Renato Monteiro Athias,272p.,"etnicidade no contexto urbano, etnologia indígena, antropologia urbana, direitos indígenas",00/00/2010,http://repositorio.ufpe.br/bitstream/handle/123456789/903/arquivo7525_1.pdf?sequence=1&isAllowed=y
154,Carolina Carret Höfs ,Yu kan vertrouw mi: você pode confiar ,Mestrado. ,Etnologia indígena,Universidade de Brasília,Mireya Suárez ,174p.,"imigração, identidade, etnicidade, migração -Suriname, etnologia, antropologia",00/00/2006,http://www.repositorio.unb.br/handle/10482/5519
155,Carolina Dias Cunha Casão,Etnografando o sistema de parta kaingang na Terra Indígena Mococa - PR,Mestrado,Etnologia indígena,Universidade Federal do Paraná,Laura Perez Gil,259 p.,Sistema de parto; Gênero; Dualismo Kaingang,00/00/2012,http://www.acervodigital.ufpr.br/bitstream/handle/1884/28272/R%20-%20D%20-%20CAROLINA%20DIAS%20CUNHA%20CASAO.pdf?sequence=1
156,Carolina Garlet de Oliveira,O corpo na dança Malinké. Como se aprende a dança do grupo Abayomi,Mestrado.,Etnologia indígena,Universidade Federal de Santa Catarina,Viviane Vedana,90p.,"corpo, aprendizado, movimento",00/00/2016,https://repositorio.ufsc.br/handle/123456789/172562
157,Carolina Padoin,Autonomia Indígena: a perspectiva Mbyá Guarani em Santa Maria,Mestrado,Etnologia indígena,Universidade Federal de Santa Maria,Ceres Karam Brum,161 p.,Direitos Indígenas; Autonomia; Mbyá Guarani,00/00/2015,http://w3.ufsm.br/ppgcsociais/images/dissertacoes/2013/Dissertao%20Carolina%20Padoin%20pdf-1.pdf
158,Carolina Perini de Almeida,"Os troncos, suas raízes e sementes: dinâmicas familiares, fluxos de pessoas e história em aldeias Terena",Mestrado,Etnologia indígena,Universidade de Brasília,Andréa de Souza Lobo,193 p.,"Terena, troncos, dinâmicas familiares, fluxos de pessoas, história, terra",00/00/2013,http://repositorio.unb.br/handle/10482/14107
159,Carolina Pucu de Araújo,A dança dos possíveis: o fazer de si e o fazer do outro em alguns grupos Tupi ,Mestrado. ,Etnologia indígena,Universidade Federal do Rio de Janeiro,Carlos Fausto,114 p.,"Recorte linguístico, Tupi, construção de identidade, mecanismos de produção de parentesco",00/00/2002,http://www.cliqueapostilas.com.br/Apostilas/Download/a-danca-dos-possiveis--o-fazer-de-si-e-o-fazer-do-outro-em-alguns-grupos-tupi
