"tid","SGA_DESCRITOR","Codi_Descritor","name","corrigido","parent"
"703","538","060.3.1.47","INGARIKÓ - AKAWAIO - INGARICÓ","60.3.1.47","606"
"704","539","060.3.3","ÍNDIO GUIANA FRANCESA","60.3.3","547"
"705","540","092.4.1","GOLPE MILITAR","92.4.1","403"
"706","541","122","CIÊNCIA","122",""
"707","542","122.1","PALEONTOLOGIA","122.1","706"
"708","543","118.9","EUROPA","118.9","476"
"709","544","8","ARTE","8",""
"710","545","119.47","MOÇAMBIQUE","119.47","478"
"711","546","119.48","GÂMBIA","119.48","478"
"712","547","119.49","BOSTWANA","119.49","478"
"713","548","119.50","QUÊNIA","119.50","478"
"714","549","119.51","EGITO","119.51","478"
"715","550","119.52","UGANDA","119.52","478"
"716","551","119.53","LIBÉRIA","119.53","478"
"717","552","119.4.17.1","RECIFE","119.4.17.1","588"
"718","553","066.6","LINGUAGEM GESTUAL","66.6","324"
"719","554","123","COMUNICAÇÃO","123",""
"720","555","124","FOLCLORE","124",""
"721","556","089.15","LEONARDO BOFF","89.15","381"
"722","557","060.3.1.48","ZURUAHÃ - SOROWAHA - SURUWAHA","60.3.1.48","606"
"723","558","088.1","PATRIMONIO HISTÓRICO","88.1","380"
"724","559","088.2","PATRIMONIO CULTURAL","88.2","380"
"725","560","115.4","TORTURA","115.4","471"
"726","561","125","FRONTEIRA","125",""
"727","562","119.54","TANZÂNIA","119.54","478"
"728","563","003.2.3","MACACO","3.2.3","214"
"729","564","119.55","INDONÉSIA","119.55","478"
"730","565","119.56","RUANDA","119.56","478"
"731","566","118.10","BORNÉU","118.10","476"
"732","567","060.3.1.49","MACURAP - MAKURAP","60.3.1.49","606"
"733","568","060.3.1.50","TIRIYÓ - PIANO - TRIO - TARONA","60.3.1.50","606"
"734","569","033.2","COMPORTAMENTO HUMANO","33.2","274"
"735","570","119.57","QUÊNIA","119.57","478"
"736","571","119.58","ZAIRE","119.58","478"
"737","572","119.59","COSTA DO MARFIM","119.59","478"
"738","573","119.60","SOMÁLIA","119.60","478"
"739","574","119.61","ZIMBÁBUE","119.61","478"
"740","575","119.62","SUDÃO","119.62","478"
"741","576","060.2.1.1","NAVAJO","60.2.1.1","618"
"742","577","118.11","AMÉRICA LATINA","118.11","476"
"743","578","040.4","TOURADA","40.4","285"
"744","579","119.63","ARGENTINA","119.63","478"
"745","580","126","BELEZA - ESTÉTICA","126",""
"746","581","118.15.1","AMÉRICA CENTRAL","118.15.1","804"
"747","582","118.13","CARIBE","118.13","476"
"748","583","119.64","CUBA","119.64","478"
"749","584","119.65","SANTA LÚCIA","119.65","478"
"750","585","092.3.3","IMPERIALISMO / DOMINAÇÃO","92.3.3","400"
"751","586","060.3.1.51","TICUNA - TUKUNA - MAGÜTA","60.3.1.51","606"
"752","587","060.3.1.52","MAKUXI - PEMON - MACUXI","60.3.1.52","606"
"753","588","118.14","ÁSIA","118.14","476"
"754","589","119.66","TIMOR LESTE","119.66","478"
"755","590","060.3.1.53","APINAYÉ - APINAJÉ - APINAIÉ","60.3.1.53","606"
"756","591","060.3.1.54","KRIKATI - KRINKATI","60.3.1.54","606"
"757","592","060.3.1.55","KANELA - CANELA","60.3.1.55","606"
"758","593","060.3.1.3","KAXINAWÁ- CASHINAUÁ- CAXINAUÁ","60.3.1.3","606"
"759","594","066.4.1","PERCEPÇÃO VISUAL","66.4.1","564"
"760","595","060.3.1.56","KADIWEU - CADUVEO - CADIUÉU","60.3.1.56","606"
"761","596","060.3.1.57","ASSURINI","60.3.1.57","606"
"762","597","060.3.1.58","MAXAKALI - MAXACALI","60.3.1.58","606"
"763","598","119.4.19.1","RIO DE JANEIRO","119.4.19.1","590"
"764","599","060.3.1.59","WANANO","60.3.1.59","606"
"765","600","060.3.1.60","TUYUKA","60.3.1.60","606"
"766","601","127","INTELECTUAIS","127",""
"767","602","053.3","GUERRA FRIA","53.3","307"
"768","603","060.3.1.61","TRUKÁ","60.3.1.61","606"
"769","604","060.3.1.62","PATAXÓ","60.3.1.62","606"
"770","605","065.1","CENSURA","65.1","323"
"771","606","089.16","GEORGES MELIÈS","89.16","381"
"772","607","060.3.1.63","KARIPUNA - CARIPUNA","60.3.1.63","606"
"773","608","060.3.1.64","GALIBI - GALIBI MARWORNO - ARUÃ - GALIBI DO OIAPOQUE","60.3.1.64","606"
"774","609","060.3.1.65","PALIKUR","60.3.1.65","606"
"775","610","060.3.1.66","AWETI","60.3.1.66","606"
"776","611","060.3.1.67","ZORÓ","60.3.1.67","606"
"777","612","060.3.1.68","KWAZÁ","60.3.1.68","606"
"778","613","060.3.4","ÍNDIO COLÔMBIA","60.3.4","547"
"779","614","060.3.4.1","NUKAK MAKU","60.3.4.1","778"
"780","615","122.2","BIOLOGIA","122.2","706"
"781","616","089.17","AUGUSTE LUMIÉRE","89.17","381"
"782","617","089.18","LOUIS LUMIÉRE","89.18","381"
"783","618","089.19","CHARLES PATHÉ","89.19","381"
"784","619","089.20","THOMAS EDISON","89.20","381"
"785","620","119.67","CANADÁ","119.67","478"
"786","621","060.2.2.2","HUICHOLS - WIRRARICA","60.2.2.2","691"
"787","622","060.2.3","ÍNDIO CANADÁ","60.2.3","546"
"788","623","060.2.3.1","MOHAWK","60.2.3.1","787"
"789","624","119.68","IUGOSLÁVIA","119.68","478"
"790","625","119.69","JORDÂNIA","119.69","478"
"791","626","119.70","CROÁCIA","119.70","478"
"792","627","119.71","CURDISTÃO","119.71","478"
"793","628","119.72","SÍRIA","119.72","478"
"794","629","119.73","URSS","119.73","478"
"795","630","119.74","PORTUGAL","119.74","478"
"796","631","035.7","CURDA - CURDO","35.7","276"
"797","632","119.1.1","ALEMANHA OCIDENTAL","119.1.1","479"
"798","633","119.1.2","ALEMANHA ORIENTAL","119.1.2","479"
"799","634","119.75","EQUADOR","119.75","478"
"800","635","119.76","HAVAÍ - HAWAI","119.76","478"
"801","636","119.77","MALI","119.77","478"
"802","637","119.78","MAURITÂNIA","119.78","478"
"803","638","119.79","PAQUISTÃO","119.79","478"
"804","639","118.15","AMÉRICA","118.15","476"
"805","640","119.80","SUÉCIA","119.80","478"
"806","641","119.81","TCHECOSLOVAQUIA","119.81","478"
"807","642","119.82","REPUBLICA TCHECA","119.82","478"
"808","643","060.3.1.69","ARAWETÉ - ARAUETÉ","60.3.1.69","606"
"809","644","128","FEITIÇARIA","128",""
"810","645","115.5","INQUISIÇÃO","115.5","471"
"811","646","119.4.5.1","SALVADOR","119.4.5.1","498"
"812","647","119.4.13.1","UBERLÂNDIA","119.4.13.1","584"
"813","648","119.83","BENIM","119.83","478"
"814","649","060.3.1.70","TREMEMBÉ","60.3.1.70","606"
"815","650","119.84","CEILÃO","119.84","478"
"816","651","119.85","TIBET","119.85","478"
"817","652","119.9.1","NOVA IORQUE","119.9.1","487"
"818","653","060.3.5","ÍNDIO GUIANA INGLESA","60.3.5","547"
"819","654","060.3.6","ÍNDIO SURINAME","60.3.6","547"
"820","655","060.3.1.71","TXIKÃO - TXICÃO - IKPENG","60.3.1.71","606"
"821","656","101.7","PSIQUIATRIA","101.7","439"
"822","657","119.86","ITÁLIA","119.86","478"
"823","658","119.87","POLÔNIA","119.87","478"
"824","659","119.88","BURQUINA FASO","119.88","478"
"825","660","060.3.1.72","GUARANI","60.3.1.72","606"
"826","661","118.16","MAGREBE","118.16","476"
"827","662","092.4.2","MOVIMENTO ESTUDANTIL","92.4.2","403"
"828","663","119.89","TOGO","119.89","478"
"829","664","119.13.1","LONDRES","119.13.1","490"
"830","665","119.90","JAMAICA","119.90","478"
"831","666","060.3.1.73","POYANAWA","60.3.1.73","606"
"832","667","037.1","UNIVERSIDADE","37.1","278"
"833","668","130","TECNOLOGIA","130",""
"834","669","004.3","ANTROPOLOGIA VISUAL","4.3","205"
"835","670","119.74.1","LISBOA","119.74.1","795"
"836","671","060.2.3.2","INUIT - ESQUIMÓS","60.2.3.2","787"
"837","672","119.4.25.2","CUBATÃO","119.4.25.2","596"
"838","673","118.17","OCEANIA","118.17","476"
"839","674","047.6","FESTA DO DIVINO","47.6","297"
"840","675","060.3.1.74","NAMBIKWARA - NHAMBIQUARA","60.3.1.74","606"
"841","676","119.91","IRLANDA","119.91","478"
"842","677","119.92","PERU","119.92","478"
"843","678","119.93","BOLÍVIA","119.93","478"
"844","679","119.94","BULGÁRIA","119.94","478"
"845","680","119.95","ROMÊNIA","119.95","478"
"846","681","119.96","CORÉIA DO SUL","119.96","478"
"847","682","060.2.1.2","SEMINOLE","60.2.1.2","618"
"848","683","060.2.1.3","MICCOSUKEE","60.2.1.3","618"
"849","684","060.2.3.3","CREE","60.2.3.3","787"
"850","685","060.2.1.4","SIOUX","60.2.1.4","618"
"851","686","010.6","FICÇÃO CIENTÍFICA","10.6","235"
"852","687","035.8","DANI","35.8","276"
"853","688","060.3.1.75","ENAWENÊ-NAWÊ - SALUMÃ","60.3.1.75","606"
"854","689","082.4.3","HIP HOP","82.4.3","372"
"855","690","082.4.4","FUNK","82.4.4","372"
"856","697","119.97","HAITI","119.97","478"
"857","698","060.3.1.76","AVA CANOEIRO","60.3.1.76","606"
"858","699","060.3.1.77","BAKAIRI","60.3.1.77","606"
"859","700","119.4.25.3","SANTOS","119.4.25.3","596"
"860","701","060.1.1","WARAO","60.1.1","318"
"861","702","119.4.25.4","SÃO VICENTE","119.4.25.4","596"
"862","703","032.1","CIDADANIA","32.1","273"
"863","704","119.98","PANAMÁ","119.98","478"
"864","705","082.4.5","BOLERO","82.4.5","372"
"865","706","008.1.6","GRAFITE","8.1.6","225"
"866","707","119.99","PORTO RICO","119.99","478"
"867","708","047.7","FANDANGO","47.7","297"
"868","709","082.4.6","SERTANEJA","82.4.6","372"
"869","710","004.2","ANTROPOLOGIA SOCIAL","4.2","205"
"870","711","118.15.2","AMÉRICA DO NORTE","118.15.2","804"
"871","712","118.15.3","AMÉRICA DO SUL","118.15.3","804"
"872","713","082.4.7","MPB - MÚSICA POPULAR BRASILEIRA","82.4.7","372"
"873","714","119.4.13.2","BELO HORIZONTE","119.4.13.2","584"
"874","715","036.3","COMÉRCIO","36.3","277"
"875","716","007.1","ARQUITETURA BARROCA","7.1","224"
"876","717","119.4.16.1","CURITIBA","119.4.16.1","587"
"877","718","119.4.7.1","BRASÍLIA","119.4.7.1","506"
"878","719","119100","NIGER","119100",""
"879","720","027.2","MASCARA","27.2","267"
"880","721","119101","SIERRA LEONE","119101",""
"881","722","119102","CABO VERDE","119102",""
"882","723","131","ALUCINOGENO","131",""
"883","724","119103","TAHITI","119103",""
"884","725","132","IDEOLOGIA","132",""
"885","726","119104","GUINÉ BISSAU","119104",""
"886","727","119105","CAMBOJA","119105",""
"887","728","119106","GUATEMALA","119106",""
"888","729","060.3.1.78","DESANA","60.3.1.78","606"
"889","730","009.5","ADORNO","9.5","230"
"890","731","060.3.1.79","MAKU","60.3.1.79","606"
"891","732","060.3.1.80","PIRATAPUIA","60.3.1.80","606"
"892","733","060.3.1.82","TUKANO","60.3.1.82","606"
"893","734","060.3.1.83","WAPIXANA","60.3.1.83","606"
"894","735","060.3.1.84","HIXKARYANA","60.3.1.84","606"
"895","736","060.3.1.85","ITOGAPUK","60.3.1.85","606"
"896","737","060.3.1.86","KEP KIRI WAT","60.3.1.86","606"
"897","738","060.3.1.87","PARINTINTIN","60.3.1.87","606"
"898","739","060.3.1.88","ASURINI","60.3.1.88","606"
"899","740","060.3.1.89","MAMAINDE","60.3.1.89","606"
"900","741","060.3.1.90","JURUNA","60.3.1.90","606"
"901","742","060.3.1.91","KAYABI","60.3.1.91","606"
"902","743","060.3.1.92","XERENTE","60.3.1.92","606"
"903","744","060.3.1.93","TAPIRAPE","60.3.1.93","606"
"904","745","060.3.1.94","UMUTINA","60.3.1.94","606"
"905","746","060.3.1.95","MAKÁ-MATAKO","60.3.1.95","606"
"906","747","060.3.1.96","WITOTO/BORA","60.3.1.96","606"
"907","748","122.3","GEOLOGIA","122.3","706"
"908","749","060.3.1.97","WAUJA","60.3.1.97","606"
"909","750","060.3.1.98","WAIMIRI-ATROARI","60.3.1.98","606"
"910","751","119107","FILIPINAS","119107",""
"911","752","119.4.25.5","SOROCABA","119.4.25.5","596"
"912","753","014.2","PERIFERIA","14.2","248"
"913","754","060.2.3.4","INNU","60.2.3.4","787"
"914","755","134","EPISTEMOLOGIA","134",""
"915","756","119.4.19.2","NITEROI","119.4.19.2","590"
"916","757","119.4.19.3","SÃO FRANCISCO DE ITABAPOANA","119.4.19.3","590"
"917","758","119.4.19.4","MACAÉ","119.4.19.4","590"
"918","759","119.4.25.6","CAMPINAS","119.4.25.6","596"
"919","760","119200","VIETNÃ","119200",""
"920","762","0.40.6","BEISEBOL","0.40.6",""
"921","763","0.89.21","LÉVI-STRAUSS","0.89.21",""
"922","768","136","ARISTOCRACIA","136",""
"923","769","137","FÉ","137",""
"924","770","0.40.5","CAPOEIRA","0.40.5",""
"925","771","064-1","BRINCADEIRA","NA",""
"926","772","119201","ERITRÉIA","119201",""
"927","773","119202","ÍNDIA","119202",""
"928","774","119203","CAMARÃO","119203",""
"929","775","138","PERFORMANCE","138",""
"930","776","","","",""
"931","777","060.3.1.99","SUYA","60.3.1.99","606"
"932","778","139","HOMOSSEXUALIDADE","139",""
"933","779","103.2","TRANSGÊNERO","103.2","448"
"934","780","103.2","TRANSGÊNERO-TRANSEXUAL","103.2","448"
"935","781","110.4","PESCA","110.4","461"
"936","782","060.3.100","BARÁ","60.3.100","547"
"937","783","","","",""
"938","784","37.2","ESCOLA","37.2","278"
"939","785","069.8","FOGO","69.8","332"
"940","786","069.9.1","PAISAGEM","69.9.1",""
"941","787","069.9.2","TERRENO","69.9.2",""
